item_fat_content,item_visibility,item_type,item_mrp,outlet_type,outlet_location_type,item_weight_mean,outlet_size_mode,item_outlet_sales
2232.8780279127213,0.035205866,2321.843276846307,171.3448,2470.1089498573588,1895.446358315565,9.5,2301.333706477927,2386.2272
2185.4785638186377,0.047473135,2261.7029123655916,170.5422,2470.1089498573588,2333.5835031710585,18.0,2301.333706477927,3103.9596
2232.8780279127213,0.076121831,2191.2563766153844,111.7202,2470.1089498573588,1895.446358315565,17.6,1929.3022135362014,1125.202
2185.4785638186377,0.029845243,2321.843276846307,41.6138,2470.1089498573588,2333.5835031710585,8.325,2301.333706477927,284.2966
2185.4785638186377,0.137227848,2295.1017390319257,155.563,2470.1089498573588,1895.446358315565,12.85,1929.3022135362014,4224.501
2232.8780279127213,0.099780431,2321.843276846307,225.2088,344.99058696158323,1895.446358315565,12.857645184136183,1929.3022135362014,447.4176
2185.4785638186377,0.014008751,2216.495402238806,171.3422,344.99058696158323,1895.446358315565,12.857645184136183,1929.3022135362014,862.211
2232.8780279127213,0.13283066,2321.843276846307,190.6872,2470.1089498573588,2333.5835031710585,12.15,2301.333706477927,2269.0464
2185.4785638186377,0.031338558,1934.838749640288,41.048,2470.1089498573588,1895.446358315565,13.85,1929.3022135362014,639.168
2232.8780279127213,0.056596985,2295.1017390319257,230.9984,2470.1089498573588,2306.68713081761,12.857645184136183,2301.333706477927,9267.936
2232.8780279127213,0.100262068,1980.0015603143418,169.6132,344.99058696158323,2306.68713081761,20.0,2301.333706477927,169.1132
2185.4785638186377,0.079952983,2191.2563766153844,62.7826,2470.1089498573588,2306.68713081761,7.825,2301.333706477927,1162.4868
2185.4785638186377,0.107940533,2261.7029123655916,35.5558,2470.1089498573588,2306.68713081761,19.25,2347.469406989247,305.6022
2232.8780279127213,0.0,2031.1150587570621,43.0086,2470.1089498573588,1895.446358315565,6.11,2301.333706477927,713.7376
2185.4785638186377,0.029445361,2261.7029123655916,257.6646,2470.1089498573588,1895.446358315565,16.35,1929.3022135362014,2061.3168
2185.4785638186377,0.14048631,2203.0266907103824,252.7382,2470.1089498573588,2306.68713081761,15.75,2347.469406989247,3280.3966
2232.8780279127213,0.013529884,2321.843276846307,106.2596,2470.1089498573588,2306.68713081761,12.857645184136183,2301.333706477927,1402.1748
2232.8780279127213,0.041098734,2321.843276846307,80.9276,2470.1089498573588,2306.68713081761,17.7,2301.333706477927,487.3656
2185.4785638186377,0.114246019,2048.9498498777507,231.23,2470.1089498573588,2333.5835031710585,21.25,2301.333706477927,3029.39
2232.8780279127213,0.047266211,2295.1017390319257,97.0068,2470.1089498573588,1895.446358315565,17.25,1929.3022135362014,1846.9292
2232.8780279127213,0.063993068,2205.4099368421053,260.4594,2470.1089498573588,2333.5835031710585,14.5,2301.333706477927,5494.8474
2185.4785638186377,0.0,2261.7029123655916,157.7972,2470.1089498573588,2306.68713081761,8.02,2347.469406989247,1713.7692
2185.4785638186377,0.026832182,2249.6992643274853,57.3246,2470.1089498573588,2333.5835031710585,12.35,2301.333706477927,1332.2658
2185.4785638186377,0.032652796,2048.9498498777507,190.8162,2470.1089498573588,2333.5835031710585,16.75,2301.333706477927,2886.243
2185.4785638186377,0.034874689,2261.7029123655916,161.721,2470.1089498573588,1895.446358315565,5.11,1929.3022135362014,2446.815
2185.4785638186377,0.055793586,2261.7029123655916,139.7496,2470.1089498573588,2306.68713081761,15.1,2347.469406989247,3952.1888
2185.4785638186377,0.134418705,2261.7029123655916,99.67,2470.1089498573588,2306.68713081761,12.857645184136183,2301.333706477927,2596.62
2185.4785638186377,0.098083231,2249.6992643274853,50.3324,2470.1089498573588,2333.5835031710585,8.5,2301.333706477927,675.1212
2232.8780279127213,0.063121982,2128.1382869309837,231.7668,2470.1089498573588,2306.68713081761,10.0,2347.469406989247,460.7336
2185.4785638186377,0.122204371,2321.843276846307,173.5738,2470.1089498573588,2333.5835031710585,16.6,1929.3022135362014,1911.5118
2232.8780279127213,0.043133816,2321.843276846307,109.7254,2470.1089498573588,2306.68713081761,14.6,2301.333706477927,651.1524
2185.4785638186377,0.075836522,2216.495402238806,40.2138,344.99058696158323,2306.68713081761,19.1,2301.333706477927,81.2276
2185.4785638186377,0.019476708,2048.9498498777507,193.0794,2470.1089498573588,2333.5835031710585,14.8,1929.3022135362014,3901.588
2185.4785638186377,0.121227447,2295.1017390319257,197.5452,2470.1089498573588,2333.5835031710585,20.85,1929.3022135362014,4306.3944
2232.8780279127213,0.099188598,2128.1382869309837,88.9856,2470.1089498573588,2306.68713081761,16.0,2347.469406989247,1669.8264
2185.4785638186377,0.045900448,2295.1017390319257,118.9124,2470.1089498573588,2306.68713081761,12.857645184136183,2301.333706477927,2844.2976
2185.4785638186377,0.0,1980.0015603143418,37.2874,2470.1089498573588,2306.68713081761,12.3,2347.469406989247,705.748
2232.8780279127213,0.11521312,2249.6992643274853,112.0202,2470.1089498573588,2333.5835031710585,15.7,2301.333706477927,3150.5656
